Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Sucupira do Riachão (MA);4660;4239;3857
Tasso Fragoso (MA);502623;543641;348163
Timbiras (MA);4630;4130;2372
Timon (MA);7111;3708;5365
Trizidela do Vale (MA);5910;5409;5111
Tufilândia (MA);1121;1087;1386
Tuntum (MA);25122;19321;8109
Turiaçu (MA);16674;15588;15454
Turilândia (MA);6679;4792;4987
Tutóia (MA);9914;7591;7308
Urbano Santos (MA);16872;9614;10655
Vargem Grande (MA);19544;5942;4542
Viana (MA);8914;6926;7417
Vila Nova dos Martírios (MA);3905;8986;9806
Vitória do Mearim (MA);12494;9850;9714
