mun;ano;estab;taxa_estab
Mg-Padre Carvalho;2002;3;0,272727273
Mg-Padre Paraiso;2002;10;0,097087379
Mg-Paineiras;2002;8;0,088888889
Mg-Pains;2002;56;0,248888889
Mg-Pai Pedro;2002;0;0
Mg-Paiva;2002;1;0,034482759
Mg-Palma;2002;7;0,061403509
Mg-Palmopolis;2002;1;0,066666667
Mg-Papagaios;2002;183;0,509749304
Mg-Paracatu;2002;84;0,050511124
Mg-Para de Minas;2002;225;0,112387612
Mg-Paraguacu;2002;51;0,10139165
Mg-Paraisopolis;2002;25;0,068119891
Mg-Paraopeba;2002;65;0,122410546
Mg-Passabem;2002;0;0
Mg-Passa Quatro;2002;43;0,129518072
Mg-Passa Tempo;2002;17;0,1
Mg-Passa-Vinte;2002;1;0,02173913
Mg-Passos;2002;295;0,121249486
Mg-Patis;2002;0;0
Mg-Patos de Minas;2002;333;0,089108911
Mg-Patrocinio;2002;124;0,055705301
Mg-Patrocinio do Muriae;2002;20;0,263157895
Mg-Paula Candido;2002;11;0,079136691
Mg-Paulistas;2002;2;0,111111111
Mg-Pavao;2002;2;0,018867925
Mg-Pecanha;2002;10;0,067114094
Mg-Pedra Azul;2002;12;0,058536585
Mg-Pedra Bonita;2002;0;0
Mg-Pedra do Anta;2002;1;0,038461538
Mg-Pedra do Indaia;2002;11;0,189655172
Mg-Pedra Dourada;2002;2;0,111111111
Mg-Pedralva;2002;24;0,1
Mg-Pedras de Maria da Cruz;2002;0;0
Mg-Pedrinopolis;2002;1;0,011111111
Mg-Pedro Leopoldo;2002;137;0,136726547
Mg-Pedro Teixeira;2002;1;0,0625
Mg-Pequeri;2002;15;0,192307692
Mg-Pequi;2002;3;0,0375
Mg-Perdigao;2002;69;0,37704918
Mg-Perdizes;2002;19;0,042505593
Mg-Perdoes;2002;71;0,124561404
Mg-Periquito;2002;1;0,03125
Mg-Pescador;2002;2;0,060606061
Mg-Piau;2002;5;0,073529412
Mg-Piedade de Caratinga;2002;4;0,111111111
Mg-Piedade de Ponte Nova;2002;7;0,114754098
Mg-Piedade do Rio Grande;2002;6;0,08
Mg-Piedade dos Gerais;2002;3;0,09375
Mg-Pimenta;2002;4;0,039215686
Mg-Pingo D'Agua;2002;1;0,035714286
Mg-Pintopolis;2002;2;0,2
Mg-Piracema;2002;6;0,046153846
Mg-Pirajuba;2002;3;0,039473684
Mg-Piranga;2002;6;0,056603774
Mg-Pirangucu;2002;7;0,08045977
Mg-Piranguinho;2002;18;0,125
Mg-Pirapetinga;2002;16;0,099378882
Mg-Pirapora;2002;64;0,078144078
Mg-Pirauba;2002;42;0,17721519
Mg-Pitangui;2002;60;0,12244898
Mg-Piumhi;2002;56;0,077348066
Mg-Planura;2002;8;0,064
Mg-Poco Fundo;2002;36;0,142857143
Mg-Pocos de Caldas;2002;353;0,092191173
Mg-Pocrane;2002;2;0,05
Mg-Pompeu;2002;83;0,149280576
Mg-Ponte Nova;2002;111;0,070926518
Mg-Ponto Chique;2002;0;0
Mg-Ponto dos Volantes;2002;2;0,08
Mg-Porteirinha;2002;16;0,069565217
Mg-Porto Firme;2002;11;0,127906977
Mg-Pote;2002;5;0,065789474
Mg-Pouso Alegre;2002;278;0,087202008
Mg-Pouso Alto;2002;14;0,078651685
Mg-Prados;2002;25;0,235849057
Mg-Prata;2002;26;0,03084223
Mg-Pratapolis;2002;20;0,094339623
Mg-Pratinha;2002;0;0
Mg-Presidente Bernardes;2002;1;0,027777778
Mg-Presidente Juscelino;2002;7;0,102941176
Mg-Presidente Kubitschek;2002;0;0
Mg-Presidente Olegario;2002;14;0,034825871
Mg-Alto Jequitiba;2002;8;0,106666667
Mg-Prudente de Morais;2002;15;0,111111111
Mg-Quartel Geral;2002;6;0,066666667
Mg-Queluzito;2002;0;0
Mg-Raposos;2002;6;0,09375
Mg-Raul Soares;2002;22;0,063768116
Mg-Recreio;2002;27;0,144385027
Mg-Reduto;2002;6;0,096774194
