Tabela 3940 - Produção da aquicultura, por tipo de produto;;;
Variável - Valor da produção (Mil Reais);;;
Tipo de produto da aquicultura - Total;;;
;Ano;;
Monte Alegre do Piauí (PI);229;156;122
Morro do Chapéu do Piauí (PI);410;253;130
Murici dos Portelas (PI);45;197;214
Nazaré do Piauí (PI);21;22;6
Nazária (PI);3747;6734;7518
Nossa Senhora de Nazaré (PI);79;97;112
Nossa Senhora dos Remédios (PI);293;328;257
Novo Oriente do Piauí (PI);112;115;131
Novo Santo Antônio (PI);80;96;111
Oeiras (PI);168;185;127
Olho D'Água do Piauí (PI);54;64;88
Paes Landim (PI);114;127;122
Pajeú do Piauí (PI);18;29;61
Palmeira do Piauí (PI);212;107;128
Palmeirais (PI);2625;3003;3233
Paquetá (PI);...;...;37
Parnaguá (PI);...;...;...
Parnaíba (PI);618;518;596
Passagem Franca do Piauí (PI);542;178;194
Patos do Piauí (PI);...;...;...
Pau D'Arco do Piauí (PI);141;171;305
Paulistana (PI);134;140;200
Pedro II (PI);506;586;656
Pedro Laurentino (PI);357;129;20
Nova Santa Rita (PI);33;29;19
Picos (PI);572;922;1010
Pimenteiras (PI);154;222;367
Pio IX (PI);67;110;376
Piracuruca (PI);2359;1791;3230
Piripiri (PI);2680;2777;3246
Porto (PI);382;610;432
Porto Alegre do Piauí (PI);78;49;43
Prata do Piauí (PI);110;166;152
Queimada Nova (PI);...;...;81
Redenção do Gurguéia (PI);78;46;55
Riacho Frio (PI);...;...;14
Ribeira do Piauí (PI);118;258;60
Ribeiro Gonçalves (PI);111;75;64
Rio Grande do Piauí (PI);12;12;10
Santa Cruz do Piauí (PI);12;58;148
Santa Cruz dos Milagres (PI);280;134;99
