Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Marmelópolis (MG);44,48;;73,36;1411;1557;1130;7,41;6,78;25,59;23,01;3,29;3,51;35,31;9,21
Marques de Souza (RS);48,64;0,08;75,94;2523;1545;2616;13,86;13,4;34,1;31,05;8,34;8,77;59,37;9,43
Marquinho (PR);69,35;;73,83;4457;524;2599;10,24;10,3;48,54;46,97;3,78;3,95;25,31;11,02
Martinho Campos (MG);30,37;0,87;75,61;1601;11010;5942;14,25;13,76;21,47;19,08;16,54;16,08;27,48;9,26
Martinópole (CE);36,06;0,17;70,57;2207;8007;3439;4,12;4,16;9,29;8,38;4,77;3,63;77,53;9,72
Martinópolis (SP);13,38;;74,93;3878;20341;11176;13,18;13,45;16,22;20,34;14,29;13,72;8,69;9,22
Martins (RN);39,34;;71,31;3182;5036;2805;5,67;5,63;2,79;1,89;3,72;4,46;88,5;9,56
Martins Soares (MG);73,11;;73,53;4246;2927;3473;10,15;10,61;17,91;15,21;24,64;24,21;23,97;7,51
Maruim (SE);18,97;4,93;71,85;4302;12041;6314;11,39;12,06;3,7;3,26;35,96;35,15;14,17;9,01
Marumbi (PR);30,53;;74,54;1462;3141;2541;10,07;9,52;35,75;33,75;5,79;3,99;13,42;10,35
Mar Vermelho (AL);54,11;0,08;70,97;2014;1638;1368;5,45;5,57;17,3;18,55;2,67;3,01;1,43;9,44
Marzagão (GO);17,29;0,51;74,34;268;1804;972;13,55;11,53;22,61;21,65;5,89;5,56;17,54;10,91
Mascote (BA);34,96;0,24;69,64;2961;11679;4616;6,08;6,58;29,57;29,37;5,04;5,33;51,55;8,53
Massapê (CE);22,35;0,51;71,7;11208;23983;12643;4,15;3,98;6,49;6,65;5,3;5,4;90,45;10,03
Massapê do Piauí (PI);75,25;;68,79;5284;936;2491;3,68;3,71;7,27;7,99;2,79;2,66;58,55;8,09
Massaranduba (PB);45,54;;69,8;8418;4484;4793;5,36;5,06;13,88;12,8;9,02;7,86;25,12;8,97
Massaranduba (SC);24,33;0,19;77,04;7068;7606;8714;25,29;23,02;10,27;9,44;42,26;37,55;60,08;10,76
Mata de São João (BA);8,05;0,43;74,09;10358;29825;17055;17,84;15,93;1,92;1,41;21,82;18,27;48,31;8,65
Mata Grande (AL);66,28;0,22;66,09;19024;5674;8394;4,45;4,72;17,48;19,01;2,31;2,56;24,63;8,38
Matão (SP);8,09;0,04;75,84;1409;75377;38575;31,78;30,08;1,2;0,55;42,66;42,91;15,85;10,44
Mataraca (PB);34,9;3,11;65,49;859;6548;2297;18,58;17,77;4,63;3,89;54,07;55,08;15,39;8,53
Mata Roma (MA);40,82;;71,56;8018;7132;3371;5,22;4,57;22,93;19,42;5,59;6,08;89,53;9,4
Mata (RS);55,31;;73,39;2493;2618;2501;13,54;13,15;34,27;32,19;9,11;9,32;48,31;10,92
Mata Verde (MG);48,39;0,65;69,92;1486;6388;3072;4,62;4,54;7,57;7,25;11,04;8,76;41,48;8,24
Mateiros (TO);33,83;;74,39;806;1417;972;53,47;29,61;73,8;68,98;6;4,03;90,34;8,15
