Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Matelândia (PR);23,75;0,14;74,85;4465;11613;8368;26,5;27,27;20,1;17,25;31,22;33,97;55,04;10,5
Materlândia (MG);51,49;0,29;71,16;2584;2011;1492;6,27;5,95;21,4;19,12;3,57;3,6;48,41;9,61
Mateus Leme (MG);9,59;2,2;75,36;3177;24679;12272;14,58;12,83;3,71;3,68;33,38;28,59;34,85;8,68
Mathias Lobato (MG);28,32;0,31;72,71;310;3060;1035;7,46;6,5;11;10,73;5,2;4,69;1,73;9,35
Matias Barbosa (MG);6,31;0,36;76,73;491;12944;6269;28,14;25,49;0,97;0,9;17,58;12,11;30,79;9,81
Matias Cardoso (MG);46,95;0,12;72,96;4843;5136;3765;9,11;8,43;46,44;40,88;5,74;6,25;61,37;8,62
Matias Olímpio (PI);42,66;1,53;71,74;5677;4796;3500;4,55;4,56;5,11;4,64;5,49;9,76;95,22;9,14
Matina (BA);55,58;0,13;69,37;7672;3473;3930;3,53;3,69;12,38;14,04;4,1;3,79;34,43;8,76
Matinha (MA);49,08;0,13;68,88;13002;8883;7751;4,14;4,09;20,33;20,87;5,58;6,25;16,3;9,65
Matinhas (PB);71,66;;69,81;3639;682;1633;7,31;6,8;30,3;29,27;3,36;4,08;22,4;8,34
Matinhos (PR);2,17;0,39;75,04;149;29279;14367;14,86;19,55;0,13;0,11;9,54;7,73;81,86;10,79
Matipó (MG);51,38;0,76;71,8;3807;13832;7533;10,35;14,19;14,43;9,9;10,47;7,01;16,61;9,3
Mato Castelhano (RS);45,94;;75,34;1949;521;1122;29,92;31,03;58,7;58,66;3,79;3,47;17,49;9,85
Matões do Norte (MA);57,48;0,24;71,1;9115;4679;4016;3,3;3,05;23,26;21,3;4,03;4,78;73,1;8,14
Matões (MA);53,86;1,12;69,34;17380;13635;9163;3,29;3,32;10,26;7,02;4,73;5,63;95,86;8,9
Mato Grosso (PB);35,68;;70,62;1501;1201;861;5,48;5,17;6,14;4,53;3,21;4,66;61,33;7,92
Mato Leitão (RS);31,91;;76,16;2244;1621;2289;25,79;22,79;14,13;14,3;42,8;38,82;19,83;9,36
Mato Queimado (RS);60,46;;77,22;1320;479;785;19,4;17,75;56,6;55,08;3,25;3,12;6,24;9,9
Mato Rico (PR);68,06;;73,73;2861;957;2001;13,47;10,14;56,79;47,12;4,38;3,86;28,67;10,41
Matos Costa (SC);53,05;0,34;74,83;1374;1465;1320;10,43;9,86;27,35;28,72;8,6;7,92;49,65;9,66
Mato Verde (MG);39,04;0,19;72,33;3225;9459;6095;6,14;5,8;6,06;4,84;7,79;9,12;35,64;10,38
Matozinhos (MG);5,49;0,7;76,82;3078;30877;17298;21,28;19,06;1,29;1,17;47,73;45,54;34,13;9,79
Matrinchã (GO);41,28;0,16;75,39;1419;2995;2095;13,7;13,91;40,54;40,97;4,99;4,92;31,19;10,21
Matriz de Camaragibe (AL);21,65;1,1;71,62;1689;22096;6981;7,05;6,85;18,63;16,5;20,13;19,15;13,41;9,53
Matupá (MT);26,2;2,51;74,46;3247;10927;6830;21,62;26,4;14,5;13,97;21,2;15,57;62,05;9,64
Maturéia (PB);44,93;;68,79;2082;3857;2249;5,25;4,86;5,38;3,79;3,68;4,16;65,13;9,51
Matutina (MG);33,77;;76,53;1068;2693;1607;11,56;11,45;32,51;30,6;13,4;12,56;32,43;9,13
Mauá da Serra (PR);24,81;0,15;72,56;1542;7013;3646;17,8;17,11;18,89;19,91;21,1;22,02;23,83;9,99
Mauá (SP);0,33;0,24;76,13;;417064;206363;19,64;19,06;0,01;0,01;33,13;32,23;19,62;10,65
Maués (AM);50,79;0,07;72,97;26404;25832;17354;5,21;4,59;19,16;16,57;5,55;4,52;96,02;9,26
Maurilândia do Tocantins (TO);46,56;;68,43;1137;2017;856;6,2;6,1;15,21;15,55;2,54;2,12;85,62;8,83
Maurilândia (GO);16,67;;74,4;401;11120;5457;11,15;10,11;32,7;31,11;8,64;8,58;14,36;8,62
Mauriti (CE);49,17;0,23;71,32;20955;23285;15634;5,43;4,96;18,54;11,26;8,07;6,65;57,71;9,83
Maxaranguape (RN);26,61;;70,83;6552;3889;3830;5,95;5,97;8,23;7,97;5,41;3;18,53;9,79
Maximiliano de Almeida (RS);48,72;0,1;74,48;1937;2974;2450;13,51;13,75;32,25;33,85;5,57;5,56;34,92;10,19
Mazagão (AP);40,95;0,1;70,46;8760;8272;5382;8,51;7,54;10,76;11,32;7,95;5,44;93,88;8,3
Medeiros (MG);52,46;;76,04;1496;1948;1751;21,55;20,46;59,64;56,86;4,55;4,77;38,66;9,51
Medeiros Neto (BA);28,76;0,7;71,61;4496;17064;8576;9,02;9,21;26,89;26,29;16,86;16,86;2,28;7,89
Medianeira (PR);11,43;0,03;75,96;4427;37390;23268;24,44;23,85;8,31;7,38;27,56;27,03;16,61;10,71
Medicilândia (PA);63,64;;72,99;17769;9559;10479;13,43;15,09;61,79;60,65;5,02;5,77;83,37;7,81
Medina (MG);31,31;5,61;74,27;5934;15092;8057;6,95;6,99;5,92;5,09;16,99;14,63;35,89;8,64
Meleiro (SC);34,43;0,32;73,5;3351;3649;3897;21,6;20,76;25,25;24,57;19,72;20,13;12,73;12,16
Melgaço (PA);48,29;;71,57;19305;5503;7129;4,05;3,85;14,27;14,66;3,03;3,21;91,43;5,51
Mendes Pimentel (MG);36,85;0,39;71,09;2876;3455;2279;5,74;5,56;19,13;16,99;4,59;4,02;1,87;8,93
Mendes (RJ);2,54;0,33;73,36;234;17701;8744;10,62;10,49;0,19;0,34;9,21;9,49;46,67;9,75
Mendonça (SP);18,91;0,45;76,78;847;3793;2453;28,02;26,36;12,23;11,57;39,99;39,79;6,97;11,61
Mercedes (PR);50,87;0,06;75,57;2607;2439;2804;23,64;23,33;38,24;34,88;10,91;11,47;15,65;11,85
Mercês (MG);31,55;1,23;74,85;3112;7256;4284;7,01;6,83;13,44;11,84;8,25;8;23,17;8,01
Meridiano (SP);19,81;;74,04;1181;2674;1981;45,72;119,34;8,6;2,78;46,71;81,64;12,48;11,48
Meruoca (CE);30,2;0,22;70,68;6273;7420;5244;3,92;3,93;4,98;4,61;4,82;7,98;96,41;8,79
Mesópolis (SP);49,31;;75,84;418;1468;853;17,15;16,88;46,53;49,06;5,08;4,97;2,12;10,18
Mesquita (MG);36,78;;72,76;2250;3819;2592;4,99;5,24;9,42;14,23;4,38;3,09;20,62;10,03
Mesquita (RJ);0,31;0,26;75,31;;168376;77983;9,3;8,77;0,14;0,13;5,43;5,63;49,76;9,51
Messias (AL);18,24;0,94;67,82;1419;14263;4660;6,46;6,07;28,59;24,68;4,8;6,83;12,64;8,76
Messias Targino (RN);20,64;0,88;71,71;550;3638;1672;11,45;10,47;2,64;3,53;10,87;8,93;67,3;10,02
Miguel Alves (PI);50,03;;69,5;21578;10711;10985;3,94;3,99;7,01;6,75;5,06;3,86;94,41;7,69
Miguel Calmon (BA);51,92;0,81;69,69;10409;16066;11271;5,06;5,2;10,1;11,53;7,31;7,99;46,64;8,2
Miguel Leão (PI);44,57;;71,89;391;862;515;9,06;6,72;26,87;9,9;5,22;4,21;98,93;9,33
Miguelópolis (SP);15,49;0,4;76,78;1186;19265;10126;20,98;23,73;18,5;12,6;38,9;50,17;8,57;10,29
Miguel Pereira (RJ);5,83;0,27;74,68;3141;21501;11830;20,42;18,89;1,29;1,5;7,83;7,92;47,82;9,28
Milagres (BA);26,94;0,5;72,32;2517;7789;4241;6,76;5,31;2,17;2,75;23,88;7,38;28,59;8,5
Milagres (CE);33,66;0,2;71,61;14760;13556;9723;5,44;4,89;12,63;8,9;6,68;6,79;60,12;9,07
Milagres do Maranhão (MA);65,24;0,13;70,85;6358;1760;2755;4,54;3,81;36,72;29,41;4,6;4,68;82,02;8,51
Milhã (CE);45,36;0,12;72,01;7117;5969;3735;5,43;4,94;19,32;18,4;4,09;4,27;48,67;9,71
Milton Brandão (PI);51,72;0,29;71,29;5068;1701;1800;4,01;4,02;8,73;7,28;3,1;2,86;88,47;8,24
Mimoso de Goiás (GO);42,96;;74,47;1443;1242;1002;13,48;9,85;52,87;42,61;5,94;5,24;54,73;8,63
Mimoso do Sul (ES);42,48;0,89;74,64;9670;16232;12941;11,8;11,77;12,62;12,87;18,9;20,16;23,95;8,19
Minaçu (GO);18,89;6,67;73,18;4600;26554;13468;22,76;36,14;3,28;2,3;54,35;74,7;74,15;9,83
Minador do Negrão (AL);60,76;;71;3023;2252;1924;5,27;5,19;28,34;29,32;1,87;1,97;17,82;8,95
Minas do Leão (RS);23,47;8,68;74,55;291;7340;3014;12,95;14,84;32,38;39,81;9,66;7,28;33,87;9,33
Minas Novas (MG);39,81;0,58;73,14;18210;12584;13413;6,34;6,41;27,8;29,12;5,32;4,58;52,46;8,81
Minduri (MG);25,42;0,27;73,32;444;3396;1769;11,38;12,57;22,06;24,44;20,79;21,33;23;8,61
Mineiros do Tietê (SP);16,14;0,09;74,39;538;11500;6180;9,28;8,21;11,9;11,66;17,77;12,87;7,03;10,9
Mineiros (GO);18,01;0,13;75,41;4649;48286;27757;25,5;24,39;21,73;20,56;19,01;20,72;44,79;8,66
Ministro Andreazza (RO);60,11;;71,55;7278;3074;4249;12,16;11,4;31,8;33,9;6,88;5,95;16,65;8,95
Mirabela (MG);38,32;1,15;72,61;3014;10028;5531;5,47;5,58;11,23;9,28;4,42;4,62;61,91;10,86
Miracatu (SP);24,81;0,72;73,18;10006;10586;8425;14,19;13,41;16,99;13,39;7,4;8,55;87,6;10,18
Miracema do Tocantins (TO);13,49;0,14;74,17;2747;17937;8393;15,57;18,5;7,01;9,61;49,55;53,51;59,26;9,9
Miracema (RJ);8,57;1,25;73,32;2102;24741;12726;11,5;12,26;3,84;3,62;7,51;7,87;10,88;8,78
Mirador (MA);54,77;;69,39;11079;9373;4701;5,21;5,48;28,23;31,71;5,02;6,77;96,71;8,47
Mirador (PR);35,13;;72,99;748;1579;918;21,72;27,19;61,97;68,68;4,01;3,22;6,66;11,21
Miradouro (MG);44,16;;74,64;4580;5671;4419;8,07;8,2;12,2;13,94;7,24;8,07;21,19;8,44
Mira Estrela (SP);21,74;1,85;73,34;939;1881;1343;11,51;11,05;20,55;22,62;5,46;5,8;2,95;11,77
Miraguaí (RS);51,1;;75,21;2786;2069;2510;19,75;18,26;27,23;27,78;28,18;29,02;15,79;9,51
Miraíma (CE);43,21;0,36;71,7;5953;6847;3364;3,97;3,93;11,16;12,75;3,08;3,51;76,36;10,09
Miraí (MG);16,54;2,67;75,19;3405;10403;5772;10,6;10,75;6,94;6,71;34,84;34,95;16,42;8,59
Miranda do Norte (MA);27,23;0,05;70,04;4908;19519;8852;9,71;12,14;3,16;2,2;48,83;62,77;47,54;8,48
Miranda (MS);30,86;0,21;71,91;10028;15567;10107;11,69;11,49;18,81;21,77;7,72;7,3;71,39;8,62
Mirandiba (PE);55,72;0,16;71,12;7167;7141;4060;6,23;6,04;3,14;2,81;5,5;6,1;78,22;8,97
Mirandópolis (SP);17,16;;77,12;3028;24455;12207;16,57;13,79;15,64;18,14;21,42;14,84;5,26;10,12
Mirangaba (BA);66,43;0,55;66,12;8400;7879;5913;4,15;4,3;11,28;16,24;5;4,63;61,61;8,63
Miranorte (TO);23,21;;73,23;1587;11036;5495;10,04;11,03;12,7;11,73;7;7,93;53,41;9,49
Mirante (BA);58,17;0,15;68,33;8698;1809;3820;3,91;4,03;14,26;17,48;5,03;5,09;29,55;8,89
Mirante da Serra (RO);44,65;;72,99;5434;6444;5229;10,33;10,4;31,39;33,54;5,88;5,7;43,97;9,76
Mirante do Paranapanema (SP);33,84;;75,45;7014;10045;7459;15,67;30,07;21,97;8,9;27,05;65,48;4,08;11,36
Miraselva (PR);29,15;;76,23;432;1430;958;13,29;13,63;33,01;32,18;4,66;5,35;6,41;11,63
Mirassolândia (SP);19,77;;74,76;803;3492;2121;15,23;11,08;48,22;36,86;7,28;8,02;20,4;9,99
Mirassol D'Oeste (MT);15,3;0,3;73,95;3829;21470;12201;16,97;16,12;10;10,58;24,74;21,81;39,65;8,6
Mirassol (SP);2,96;0,03;75,76;1359;52433;27751;22;20,94;1,85;1,6;31,26;33,76;8,36;9,69
Miravânia (MG);46,33;0,43;71,88;3470;1079;1611;4,88;4,72;7,37;6,74;3,67;3,62;78,26;9,22
Mirim Doce (SC);50,33;;74,23;1311;1202;1283;15,04;14,33;32,56;32,14;15,59;16,25;69,35;11,06
Mirinzal (MA);51,55;0,35;70,33;5187;9031;5785;3,5;3,81;8,99;7,88;5,2;6,07;83,02;10,8
Missal (PR);39,16;;74,66;5054;5420;5316;20,68;19,84;34,78;29,34;9,02;9,11;16,06;10,63
Missão Velha (CE);48,88;0,16;70,21;18855;15419;13616;6,65;10,3;22,12;54,35;16,24;4,95;70,25;9,79
Mocajuba (PA);49,33;0,07;70,21;8452;18279;10050;5,99;6,23;41,72;39,33;3,17;3,83;76,28;8,07
Mococa (SP);15,5;0,04;74,63;5141;61149;31295;20,79;18,61;7,19;7,12;22,04;18,97;16,49;10,33
Modelo (SC);35,95;0,26;78,17;1353;2692;2402;17,18;16,55;24,65;22,4;20,73;21,72;22,32;11,1
Moeda (MG);20,09;4,14;73,01;2900;1789;2002;8,8;7,23;5,73;6,1;8,07;7,04;22,46;8,07
Moema (MG);20,94;0,17;75,87;988;6040;3732;8,12;7,94;14,03;13,76;4,75;4,55;25,32;8,65
Mogeiro (PB);46,99;0,36;68,94;6908;5583;4309;5,87;5,87;13,07;13,72;7,62;9,94;12,72;8,7
Mogi das Cruzes (SP);4,6;0,33;76,07;30466;357313;186399;24,98;24,14;3,15;2,99;29,45;25,46;42,27;10,98
Mogi Guaçu (SP);7,81;0,16;76,1;6950;130295;68441;26,93;23,78;4,2;4,7;35,02;27,71;20,44;10,01
Mogi Mirim (SP);6,61;0,13;77,74;5560;80945;43366;32,62;32,13;3,53;3,62;31,25;30,36;12,57;10,65
Moiporá (GO);41,49;;74,05;630;1133;776;13,97;14,14;41,87;45,04;4,74;4,25;28,94;11,51
Moita Bonita (SE);62,28;0,16;72,53;6401;4600;5371;7,84;9,02;28,94;35,83;4,31;4,11;7,7;8,8
Moju (PA);53,16;0,17;70,44;44856;25162;25036;6,74;6,92;25,37;31,2;13,82;9,55;76,02;7,26
Mombaça (CE);47,38;;69,09;23874;18816;15014;4,41;4,29;8,85;8,27;4,23;5,01;79,31;9,22
Mombuca (SP);22,25;0,5;74,18;581;2685;1282;13,15;12,76;31,23;31,98;9,6;7,8;7,82;10,75
Monção (MA);62,92;;67,23;19979;11759;10526;3,82;3,7;27,53;25,44;3,38;3,71;23,1;8,76
Monções (SP);17,74;4,49;73,81;296;1836;1139;23,49;23,25;21,01;23,75;27,29;24,86;5,55;12,21
Mondaí (SC);33,2;;77,52;3926;6305;6283;38,35;31,69;9,88;10,02;53,37;50,54;31,46;10,08
Mongaguá (SP);1,55;0,29;76,24;202;46091;19304;12,07;11,87;1,19;0,66;13,77;14,8;83,17;11,41
Monjolos (MG);41,49;0,18;74,16;957;1403;994;8,92;8,65;31,87;27,46;3,67;3,9;59,73;9,02
Monsenhor Gil (PI);30,11;1,4;71,87;5024;5309;3654;6,22;5,79;7,35;6,72;17,32;9,36;94,58;9,87
Monsenhor Hipólito (PI);68,52;;69,36;3906;3485;3211;4,22;4,39;10,51;15,2;4,26;3,98;49,74;7,37
Monsenhor Paulo (MG);40,17;;75,32;2028;6133;4256;16,88;14,94;13,55;10,86;38,53;34,32;8,5;9,71
Monsenhor Tabosa (CE);45,64;;71,37;7343;9362;6036;4,65;4,51;10,84;8,95;3,61;3,85;64,81;8,99
Montadas (PB);62,15;;69,85;1834;3156;2217;6,02;9,28;4,69;3;14,5;39,92;2,52;9,04
Montalvânia (MG);35;0,15;72,96;5623;10239;5617;5,47;5,43;8,57;7,29;5,67;5,22;66,45;8,62
Montanha (ES);34,35;0,26;73,96;4327;13522;8516;11,95;12,01;24,5;21,86;11,22;13,48;4,14;9,49
Montanhas (RN);42,1;;67,02;2543;8870;3846;4,85;5;5,9;5,73;2,99;3,28;4,17;8,38
Montauri (RS);62,59;;76,11;898;644;1019;24,32;24,95;56,6;54,53;7,2;8,54;27,43;10,13
Monte Alegre de Goiás (GO);48,7;1,68;73,95;4566;3164;2764;7,05;6,71;34,18;36,89;3,74;3,28;69,16;8,04
Monte Alegre de Minas (MG);39,38;;75,86;5113;14506;9251;19,08;17,58;49,16;45,19;4,44;4,52;21,88;8,69
Monte Alegre de Sergipe (SE);54,79;;68,54;5584;8043;4785;5,94;5,54;15,44;13,74;4,12;4,12;9,46;7,88
Monte Alegre do Piauí (PI);47,87;0,12;71,1;7364;2981;3573;7,59;8,85;37,22;40,3;4,15;4,78;82,6;8,69
Monte Alegre dos Campos (RS);83,66;;74,29;2457;645;1126;12;12,94;43,5;45,93;3,87;3,44;72,97;10,28
Monte Alegre do Sul (SP);18,91;0,11;76,5;3061;4091;3945;18,16;16,77;25,47;25,31;22,98;21,14;27,62;10,45
Monte Alegre (PA);48,19;0,46;70,86;30897;24565;18665;7,89;7,86;40,04;39,48;5,64;5,25;79,51;8,8
Monte Alegre (RN);32,92;0,15;71,18;11683;9002;6677;5,83;5,86;4,94;5,82;8,26;8,4;9,04;9,29
Monte Alto (SP);9,1;;76,56;2099;44543;25450;24,25;23,34;7,95;9,33;30,01;26,7;13,03;10,64
Monte Aprazível (SP);15,07;;76,64;1943;19803;11501;19,38;17,37;10,77;9,53;27,68;27,19;7,47;11,35
Monte Azul (MG);41,04;0,75;73,63;9576;12418;9654;5,78;5,65;6,36;5,77;5,75;5,11;40,03;9,35
Monte Azul Paulista (SP);28,09;;75,56;1218;17713;10004;18,01;16,52;6,02;4,53;11,36;8,9;5,85;10,53
Monte Belo do Sul (RS);55,99;;76,13;1900;770;1553;34,66;32,05;18,72;19,89;45,22;43,24;54,8;11,1
Monte Belo (MG);56,3;0,16;75,82;4003;9058;6764;11,82;11,57;21,89;18,49;17,69;16,52;7,79;10,49
Monte Carlo (SC);41,28;;73,23;1236;8076;3871;11,15;11,02;27,35;25,27;16,45;18,4;26,39;9,64
Monte Carmelo (MG);20,18;;77,1;5672;40100;23083;20,95;16,85;21,17;14,46;6,98;7,07;34,79;9,53
Monte Castelo (SC);43,63;;74,58;3497;4849;3726;16,53;14,85;38,63;29,75;9,05;10,37;53,67;10,77
Monte Castelo (SP);36,1;;73,81;852;3211;2008;13,51;14,2;30,21;35,15;4,12;4,26;7,96;11,8
Monte das Gameleiras (RN);48,89;;70,14;978;1283;978;6,92;6,3;2,79;3,71;13,25;3,91;34,89;9,78
Monte do Carmo (TO);44,17;0,12;73,49;3835;2881;2225;12,61;11,39;53,78;51,83;5,06;4,79;80,84;9,44
Monte Formoso (MG);49,92;1,64;70,92;2956;1700;1429;4,19;4,2;9,84;9,59;2,8;4,14;41,78;9,48
Monte Horebe (PB);52,86;;70,29;2007;2501;1694;5,31;4,78;5,5;5,46;3,52;4,59;69,88;8,01
Monteiro Lobato (SP);22,05;0,16;74,53;2342;1778;1961;8,96;8,77;5,01;5,98;7,11;8,64;54,73;9,72
Monteiro (PB);36,7;;67,51;10591;20261;12889;8,32;8,95;3,29;3,34;5,12;5,78;63,36;9,7
Monteirópolis (AL);55,28;;67,57;4420;2515;2342;4,51;4,86;9,91;13,36;2,97;3,39;2,77;9,46
Monte Mor (SP);7,33;0,27;76,78;2971;45978;24485;42,73;31,05;1,13;1,74;60,81;44,39;5,5;9,53
Monte Negro (RO);46,95;1,75;70,71;6701;7390;6182;10,94;10,44;32,9;34,83;10,96;9,6;29,68;9,65
Montenegro (RS);10,35;0,29;76,94;5786;53629;31369;34,89;32,34;2,31;2,3;44,75;40,61;75,19;9,92
Montes Altos (MA);48,4;;68,91;4287;5126;2916;4,33;4,32;31,53;36,17;4,34;5,07;75,97;8,64
Monte Santo (BA);61,17;0,3;66,96;43493;8845;19117;3,81;4,26;5,87;14,04;6,33;6,17;37,22;7,91
Monte Santo de Minas (MG);39,45;0,51;77,46;4811;16423;10077;12,31;12,07;22,89;19,9;9,76;11,47;21,55;9,24
Monte Santo do Tocantins (TO);56,63;;70,6;1635;450;755;9,91;9,74;36,79;36,11;2,99;2,58;63,08;9,48
Montes Claros de Goiás (GO);43,54;;73,36;2662;5325;4211;24,22;21,78;53,17;50,98;5,89;5,36;29,56;11,2
Montes Claros (MG);5,6;0,16;77,07;17488;344427;179756;15,74;14,67;1,41;1,52;24,45;20,94;52,51;10,25
Monte Sião (MG);15,21;0,17;77,69;4935;16268;13068;11,64;12,48;8,23;7,47;12,95;11,86;12,93;8,69
Montezuma (MG);59,14;0,48;73,55;4385;3079;3475;5;5,09;20,41;23,93;3,77;3,12;41,57;8,53
Montividiu do Norte (GO);47,02;;73,95;2775;1347;1275;9,4;9,73;42,65;41,54;3,89;4,81;58,92;9,13
Montividiu (GO);28,67;0,44;74,6;1988;8584;5573;39,04;34,78;51,81;49,65;7,44;8,32;17,21;9,44
Morada Nova (CE);38,62;0,26;70,47;26664;35401;21542;8,11;8,08;11,03;11,97;25,16;25,22;47,44;9,08
Morada Nova de Minas (MG);34,94;0,17;74,79;1798;6457;4154;15,82;17,38;45,44;51,37;5,16;4,68;33,92;8,36
Moraújo (CE);49,95;;71,1;4466;3604;2847;6,31;6,25;35,41;30,8;3,69;4,04;84,26;9,43
Moreilândia (PE);50,11;;71,05;4294;6838;3343;5,31;4,49;7,96;7,61;2,62;2,54;58,02;10,15
Moreira Sales (PR);35,66;;73,12;2673;9933;5729;13,1;13,23;29,09;27,65;11,48;14,24;6,43;10,92
Moreno (PE);9,34;0,15;73,28;6499;50197;21714;7,3;6,72;9,29;12,24;17,62;17,94;20,22;9,2
Mormaço (RS);43,92;0,34;76,59;2149;600;1385;20,72;20,26;40,78;39,53;4,21;4,46;18,28;10,56
Morpará (BA);57,85;0,38;68,9;2742;5538;2842;4,23;4,54;18,76;19,26;4,82;4,21;79,1;9,03
Morretes (PR);25,66;0,46;75,22;8540;7178;7159;11,09;10,97;14,07;14,84;9,2;9,3;90,97;8,59
Morrinhos (CE);39,86;0,36;70,57;11088;9612;6740;4,09;4,15;7,13;9,71;4,91;4,95;64,52;9,6
Morrinhos do Sul (RS);67,96;;75,51;1882;1300;1925;13,14;11,72;39,95;39,83;4,09;4,08;47,99;9,93
Morrinhos (GO);19,61;;76,69;5501;35959;21181;19,86;18,51;23,6;21,76;20,32;20,15;23,37;9,99
Morro Agudo de Goiás (GO);50,36;0,17;74,58;707;1649;1189;10,81;9,99;32,51;35,13;4,24;3,87;26,75;11,61
Morro Agudo (SP);20;;75,15;1209;27907;13867;25,63;24,17;18,53;17,36;27,21;27,11;10,98;10,22
Morro Cabeça no Tempo (PI);64,96;0,77;71,46;2664;1404;1166;4,54;4,43;17,53;20,19;3,25;2,8;93,67;8,94
Morro da Fumaça (SC);5,25;0,68;74,51;2263;13863;8387;27,94;25,56;2,09;1,92;49,52;47,53;19,05;11,04
Morro da Garça (MG);52,24;;73,97;1138;1522;1023;14,16;41,07;33,91;76,83;3,61;1,21;28,87;9,66
Morro do Chapéu (BA);52,42;0,2;70,98;14897;20267;14021;5,06;7,06;10,58;8,03;8,64;28,53;64,83;9,38
Morro do Chapéu do Piauí (PI);57,22;;69,5;4201;2298;2868;4,13;4,08;9,04;7,54;4,09;3,15;98,6;9,45
Morro do Pilar (MG);34,52;0,19;73,55;818;2581;1386;7,54;6,71;12,61;10,06;3,48;4,02;62,77;7,1
Morro Grande (SC);44,37;0,16;75,8;2134;756;1650;45,55;42,49;15,92;15,52;49,61;48,5;72,15;9,42
Morro Redondo (RS);39,58;0,32;76,84;3579;2648;3235;10,28;9,81;18,87;16,27;18,56;18,56;80,14;9,84
Morro Reuter (RS);16,79;;76,5;835;4841;3586;17,7;17,53;14,83;14,19;31,45;30,85;88,85;8,48
Morros (MA);62,73;0,34;67,34;11063;6720;5791;4,02;3,67;9,7;9,96;8,28;5,89;80,82;8,17
Mortugaba (BA);47,68;;71,28;6590;5887;6088;4,25;4,28;11,3;11,29;5,28;5,31;47,96;9,02
Morungaba (SP);13,07;1,15;73,1;1718;10051;5811;26,56;21,17;4,75;6,07;46,6;39,13;22,13;8,89
Mossâmedes (GO);31,87;0,48;73,66;1732;3275;2087;11,98;11,22;41,71;42,87;7,63;6,9;24,62;10,99
Mossoró (RN);5,67;4,5;73,64;22574;237241;118382;17,25;15,02;2,37;2,64;30,8;25,86;58,84;9,97
Mostardas (RS);38,25;;75,94;3981;8143;5809;19,81;16,07;49,24;41,36;6,04;5,43;30,66;9,73
Motuca (SP);12,23;1,57;76,51;1182;3108;1644;11,24;11,07;34,14;36,5;6,73;7,05;13,69;10,29
Mozarlândia (GO);16,16;0,07;74,51;1243;12161;6486;25,28;27,17;9,39;9,09;38,17;40,61;29,16;8,95
Muaná (PA);41,39;0,83;71,51;19683;14521;11523;4,49;4,42;38,77;38,93;3,54;3,45;78,4;7,8
Mucajaí (RR);26,76;0,66;73,79;5857;8935;4808;10,04;10,94;12,91;14,85;5,29;5,45;88,37;8,38
Mucambo (CE);40,2;;68,91;5036;9066;4516;4,24;4,17;3,96;3,53;2,99;3,79;85,78;9,82
Mucugê (BA);49,61;0,43;72,2;6365;4180;4526;27,23;23,95;67,42;63,22;6,25;6,84;72,27;8,32
Muçum (RS);26,8;0,15;75,38;747;4044;3024;34,07;33;8,43;7,51;46,58;46,13;70,88;10,95
Mucuri (BA);21,85;0,21;73,05;8534;27492;15092;26,37;35,08;4,3;3,83;60,11;66,05;12,89;7,97
Mucurici (ES);44,22;;74,7;2065;3590;2513;9;8,97;33,93;33,4;5,67;5,83;1,98;9,22
Muitos Capões (RS);72,22;0,34;77,39;2018;970;1584;94;100,25;72,74;74,5;4,93;4,67;38,38;10,27
Muliterno (RS);59,46;;73,48;1305;508;1012;16,65;16,89;49,17;49,52;5,58;5,46;27,76;10,64
Mulungu (CE);47,22;;70,56;7287;4198;4067;4,96;5,07;19,82;24,93;2,96;3,3;96,92;9,33
Mulungu do Morro (BA);64,95;0,16;70,18;6330;5919;5087;3,96;4,48;4,97;11,67;5,38;5,12;48,57;8,22
Mulungu (PB);40,44;;71,65;4933;4536;3238;5,1;4,76;16,76;15,74;5,65;6,93;3,12;7,73
Mundo Novo (BA);49,22;0,09;72,43;10831;13564;9403;3,61;3,52;14,34;14,07;4,74;4,09;43,29;8,15
Mundo Novo (GO);52,53;0,08;73,73;2671;3767;3213;12,14;12,31;43,81;45,25;5,06;4,36;31,53;9,67
Mundo Novo (MS);15,51;0,07;73,48;1772;15271;8072;16,38;15,55;10,05;11,12;22,1;19,88;25,69;9,42
Munhoz de Melo (PR);35,68;;76,34;698;2974;1841;14,37;14,58;54,13;52,56;3,98;4,07;3,83;11,17
Munhoz (MG);48,24;0,65;74,25;2938;3319;2789;6,7;7,39;12,62;11,86;5,68;10,95;19,43;8,3
Muniz Ferreira (BA);44,72;0,12;70,64;3923;3394;3084;4,2;4,35;13,86;12,77;5,57;8,01;34,14;9,61
Muniz Freire (ES);59,59;0,36;74,24;9727;8670;8499;8,88;9,56;22,29;25,16;7,74;9,02;30,47;8,77
Muquém de São Francisco (BA);58,12;;70,63;8989;1283;3558;7,06;7,8;32,52;28,6;9,06;15,06;66,58;8,57
